student_id,daily_social_media_hours,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,stress_level,anxiety_level,addiction_level,depression_label
55,6.8,6.5,2.7,2.97,1.9,4,4,5,0
56,7.4,8.6,0.9,2.3,0.0,1,5,3,0
57,4.5,5.0,2.5,2.65,0.7,8,9,1,0
58,6.4,5.3,2.4,2.03,1.7,7,5,10,0
59,7.3,4.2,1.3,2.16,1.0,4,5,2,0
60,7.1,5.6,0.6,3.07,1.0,1,3,7,0
61,1.6,5.1,2.7,3.57,0.8,3,9,7,0
62,1.5,4.7,1.0,3.82,0.6,6,1,4,0
63,4.3,5.8,0.7,3.15,0.1,7,2,1,0
64,2.5,6.7,2.0,2.56,1.7,5,7,5,0
65,7.9,5.1,1.7,2.8,0.8,6,1,8,0
66,2.7,8.0,2.6,3.53,1.9,1,8,7,0
67,3.1,8.2,1.5,2.45,0.3,5,8,6,0
68,5.8,7.6,0.7,2.83,1.0,7,6,8,0
69,3.9,7.0,2.8,2.8,0.1,8,2,8,0
70,7.5,7.0,0.9,3.48,1.1,2,2,6,0
71,5.2,6.7,2.0,3.48,1.0,2,1,5,0
72,3.1,5.0,1.1,2.73,1.6,2,8,1,0
73,2.0,8.7,1.2,3.0,0.0,8,8,4,0
74,2.7,8.4,1.3,2.01,0.6,6,3,8,0
75,1.5,4.3,2.1,3.9,1.5,10,2,4,0
76,6.9,8.2,0.8,2.36,0.0,10,10,7,0
77,1.1,7.1,1.8,2.55,0.8,5,5,10,0
78,3.4,4.4,0.6,3.41,0.2,8,6,3,0
79,6.7,4.5,2.1,3.71,1.3,3,3,3,0
80,1.1,7.2,1.0,3.13,0.6,2,1,4,0
81,7.4,7.5,2.3,2.39,0.9,4,1,4,0
82,4.8,6.0,1.5,2.61,1.2,2,2,6,0
83,1.2,5.2,2.2,2.19,1.9,9,9,4,0
84,7.4,5.6,1.4,2.95,1.7,8,5,5,0
85,2.6,8.6,1.3,3.64,1.6,5,3,1,0
86,5.0,9.0,2.5,3.4,0.9,8,10,5,0
87,7.5,7.4,1.8,3.47,0.0,9,4,2,0
88,5.4,5.7,2.5,3.13,1.9,5,10,3,0
89,5.6,5.3,1.7,2.77,0.9,8,4,8,0
90,6.2,4.1,2.8,3.41,1.1,7,8,1,1
91,4.7,4.7,2.4,3.94,0.0,10,5,8,0
92,4.0,4.6,2.2,3.7,0.6,4,1,4,0
93,6.2,8.6,1.5,3.22,1.6,4,5,7,0
94,5.6,6.8,2.0,2.22,1.0,6,9,8,0
95,4.0,4.4,2.5,3.6,1.4,7,2,10,0
96,1.8,6.4,2.4,2.16,1.9,3,6,9,0
97,3.1,5.4,1.9,3.66,0.4,7,4,2,0
98,3.5,5.2,2.5,2.57,1.1,1,6,3,0
99,7.4,6.4,2.2,3.51,1.0,4,5,4,0
100,8.0,5.5,1.4,2.95,0.3,2,5,2,0
101,5.1,4.1,1.6,3.32,0.8,1,3,8,0
102,2.4,6.3,1.3,3.05,1.7,2,9,5,0
103,1.6,4.2,1.5,3.72,1.7,10,1,10,0
104,5.8,6.7,1.9,3.0,1.9,5,8,2,0
105,2.7,6.6,1.9,2.75,1.9,3,6,6,0
106,4.0,4.5,1.0,3.65,1.8,5,6,5,0
107,3.2,8.8,1.2,3.71,1.1,7,6,10,0
108,1.6,4.3,0.6,3.91,2.0,5,10,7,0
109,2.3,8.0,2.5,3.08,1.7,5,6,7,0
110,7.7,8.5,1.2,3.56,0.0,7,10,7,0
111,4.8,7.1,0.6,3.36,0.7,7,6,9,0
112,5.2,6.0,0.6,3.07,0.6,6,2,9,0
113,5.7,6.6,2.4,3.99,1.7,1,3,1,0
114,4.6,5.2,1.4,2.98,1.9,1,4,5,0
115,4.3,7.5,2.7,2.29,0.8,1,10,1,0
116,4.1,8.6,3.0,2.77,0.1,3,6,1,0
117,6.5,8.1,2.0,3.89,1.3,8,2,2,0
118,7.8,8.8,2.1,3.75,1.3,10,9,6,0
119,6.5,4.1,2.7,3.66,1.1,6,10,10,0
120,3.2,4.2,0.6,2.21,1.4,6,6,3,0
121,2.4,4.1,0.8,2.79,1.1,8,6,3,0
122,4.0,8.1,2.1,2.01,0.4,4,8,8,0
123,6.0,8.8,1.3,4.0,0.9,8,10,7,0
124,1.2,8.0,1.7,3.12,0.1,6,4,2,0
125,5.7,5.8,2.8,2.17,0.5,3,9,2,0
126,6.5,8.1,2.3,2.21,0.4,8,8,6,0
127,6.6,5.6,0.8,3.48,1.7,4,3,4,0
128,6.0,7.2,1.5,2.36,0.2,1,3,4,0
129,1.1,8.0,2.7,2.04,0.1,7,10,2,0
130,3.8,7.9,1.3,3.97,0.2,7,10,9,0
131,4.7,6.8,1.7,3.27,1.4,4,2,4,0
132,7.4,6.3,1.3,3.47,1.2,1,3,9,0
133,3.9,7.1,2.4,3.82,0.8,3,6,10,0
134,3.1,5.7,2.9,3.1,0.6,9,4,2,0
135,2.6,8.8,1.7,2.39,1.0,5,2,6,0
136,5.0,6.9,0.6,3.03,0.8,9,3,8,0
137,4.5,8.1,1.6,3.72,1.2,1,2,1,0
138,2.1,4.7,2.0,2.99,1.9,5,1,8,0
139,6.4,6.0,1.1,3.81,0.9,8,2,3,0
140,2.3,6.5,2.6,3.18,0.1,1,8,4,0
141,4.4,8.8,1.3,2.69,0.4,3,1,7,0
142,2.3,6.9,2.3,2.17,1.6,3,6,10,0
143,4.3,4.4,0.7,3.19,0.3,6,2,6,0
144,3.9,5.2,1.8,2.41,0.6,9,5,5,0
145,2.9,7.5,0.9,2.62,2.0,3,1,9,0
146,2.1,8.5,1.1,3.03,1.6,5,6,7,0
147,2.1,5.0,1.4,2.96,1.1,7,1,9,0
148,3.8,5.7,1.3,3.84,1.6,3,4,10,0
149,1.1,8.2,0.7,2.94,0.7,10,7,9,0
150,2.5,5.3,2.4,3.87,1.3,10,9,6,0
151,4.1,6.4,0.9,2.47,1.2,7,3,4,0
152,3.0,8.6,1.5,2.84,0.3,6,4,3,0
153,3.9,5.0,0.7,2.98,0.3,10,8,3,0
154,7.0,8.9,0.6,2.7,1.8,5,4,1,0
155,3.6,8.9,1.9,2.11,1.7,9,5,2,0
156,7.6,7.6,2.7,2.36,1.2,5,10,3,0
157,1.3,4.5,0.7,2.51,0.8,10,9,7,0
158,2.1,7.8,2.1,3.29,1.5,8,1,7,0
159,2.7,8.8,1.9,2.14,0.4,8,10,3,0
160,7.5,8.0,2.0,3.25,0.7,9,10,2,0
161,6.1,8.8,1.7,3.55,1.3,6,10,9,0
162,2.4,7.4,1.2,2.5,1.8,2,5,2,0
163,2.0,5.3,1.7,2.91,0.8,9,5,9,0
164,7.8,5.3,0.5,2.32,0.8,8,9,3,1
165,6.8,7.2,2.5,3.61,0.5,10,1,9,0
166,8.0,4.6,2.6,3.06,0.1,9,2,6,0
167,7.3,8.9,2.7,3.68,1.9,6,6,10,0
168,1.5,8.7,1.2,2.52,0.1,9,7,2,0
169,3.4,5.0,1.8,3.2,1.5,4,5,1,0
170,7.3,4.8,2.6,3.81,1.5,4,7,4,0
171,1.9,8.5,0.8,3.33,1.3,5,1,3,0
172,3.9,8.2,1.3,3.21,1.8,3,7,7,0
173,1.3,5.8,1.3,3.35,1.9,9,4,9,0
174,4.7,8.2,1.8,2.26,1.0,7,4,7,0
175,1.9,5.8,2.3,2.47,0.3,10,9,4,0
176,7.0,6.3,1.6,2.55,0.5,10,1,8,0
177,6.2,6.3,1.7,2.26,1.1,9,6,2,0
178,3.2,8.0,1.3,2.5,1.1,2,7,5,0
179,4.5,7.9,1.4,2.38,0.1,7,9,1,0
180,1.1,6.1,2.5,2.8,1.8,4,10,3,0
181,5.9,8.0,2.8,3.21,1.6,2,8,8,0
182,5.1,5.0,2.2,3.58,1.2,6,3,9,0
183,1.6,6.9,2.3,3.16,0.9,3,1,5,0
184,7.2,8.0,1.4,3.64,0.4,10,5,7,0
185,1.4,6.9,2.4,3.06,1.9,4,10,8,0
186,6.6,8.0,2.2,2.21,1.0,10,8,10,0
187,3.5,6.3,0.8,2.71,1.8,7,4,2,0
188,5.4,6.3,2.8,3.06,0.8,3,7,9,0
189,4.2,7.3,1.1,3.1,1.6,1,6,2,0
190,2.5,8.3,1.6,2.91,0.6,10,2,6,0
191,3.8,6.0,3.0,2.1,0.2,7,9,1,0
192,1.8,8.9,1.2,3.67,0.1,2,8,9,0
193,5.4,5.6,1.8,3.01,0.9,10,6,8,0
194,7.7,6.1,0.8,3.47,1.5,9,10,9,0
195,4.1,8.0,1.7,2.29,1.4,2,1,10,0
196,6.6,4.9,3.0,2.99,0.9,4,8,3,0
197,2.3,4.1,0.8,3.18,1.7,5,3,8,0
198,7.5,5.9,2.9,3.71,1.7,3,1,10,0
199,7.1,8.0,2.9,2.59,1.2,10,8,5,0
200,1.7,6.3,1.5,2.66,1.8,1,4,10,0
201,7.9,5.8,0.8,3.31,1.6,3,7,2,0
202,4.0,7.9,1.9,2.56,0.1,4,9,9,0
203,1.2,8.1,2.0,3.33,1.5,7,3,8,0
204,3.5,8.4,1.7,2.46,0.1,6,9,3,0
205,1.1,6.8,2.0,3.45,1.3,7,1,2,0
206,1.6,4.1,1.6,3.15,0.9,2,6,4,0
207,2.5,8.9,2.9,2.53,0.1,8,7,3,0
208,2.8,7.2,1.8,2.91,0.2,5,5,4,0
209,2.2,5.2,1.4,2.62,1.5,10,7,5,0
210,4.8,6.8,1.0,2.6,1.1,1,5,6,0
211,3.7,7.9,2.7,3.11,0.3,6,6,5,0
212,5.5,8.3,2.3,3.47,1.6,4,8,5,0
213,2.5,6.8,1.0,3.77,1.0,3,9,9,0
214,1.9,5.8,1.7,3.52,0.2,6,5,1,0
215,5.9,7.5,1.4,2.58,1.2,6,2,8,0
216,6.5,8.3,0.6,3.05,0.3,2,7,8,0
217,7.5,8.1,2.5,3.56,1.2,6,8,10,0
218,4.9,4.5,2.9,3.88,0.8,5,5,6,0
219,2.2,5.3,1.4,3.97,0.0,1,10,7,0
220,5.8,6.9,0.7,3.01,1.9,9,9,4,0
221,1.3,8.5,0.9,3.71,0.7,3,3,6,0
222,2.8,4.8,1.7,2.8,0.6,5,7,4,0
223,4.0,6.5,2.4,3.67,0.6,4,6,4,0
224,1.7,4.9,1.6,2.36,1.7,3,1,6,0
225,1.4,6.1,1.6,2.56,1.2,2,7,8,0
226,2.3,6.5,3.0,3.5,0.1,9,10,8,0
227,3.8,5.3,1.0,2.28,1.2,9,3,1,0
228,6.4,5.1,2.5,2.62,1.3,5,4,7,0
229,6.0,7.1,0.9,2.98,0.1,1,6,5,0
230,1.9,7.8,2.1,2.26,0.3,7,7,5,0
231,2.4,8.5,2.4,2.79,1.1,1,6,7,0
232,2.7,5.1,2.4,2.17,1.8,3,10,8,0
233,1.5,7.2,1.7,2.76,0.0,10,7,10,0
234,7.7,7.3,1.8,3.13,2.0,7,9,7,0
235,2.9,5.1,2.2,3.81,0.7,6,6,10,0
236,7.6,4.3,2.7,2.51,0.3,3,9,10,0
237,5.7,8.4,2.4,2.84,0.7,5,4,9,0
238,1.2,5.0,1.5,2.09,0.6,5,2,1,0
239,2.4,6.2,1.6,2.38,0.0,8,4,10,0
240,6.2,5.1,2.0,3.82,1.7,7,3,5,0
241,4.7,5.1,2.2,2.03,1.1,2,10,7,0
242,5.3,6.7,0.7,3.59,1.8,4,8,8,0
243,6.0,6.0,0.7,3.29,1.4,4,5,1,0
244,7.8,4.7,2.1,2.48,2.0,8,3,1,0
245,4.4,4.2,2.6,2.28,1.3,8,10,4,0
246,6.7,7.6,2.4,3.59,0.4,9,5,5,0
247,7.2,7.4,2.2,3.42,0.1,8,9,6,0
248,6.1,4.4,2.1,2.23,1.0,8,2,5,0
249,5.4,8.7,1.9,2.67,1.3,1,5,7,0
250,2.7,7.7,0.7,2.22,0.4,10,8,7,0
251,7.9,7.2,1.5,2.36,0.2,2,6,8,0
252,4.6,7.3,1.6,2.91,0.4,10,5,7,0
253,5.6,4.6,1.9,2.54,0.1,5,5,6,0
254,6.5,6.4,0.7,3.57,1.1,2,9,6,0
255,5.9,7.2,0.9,3.99,1.7,7,9,3,0
256,1.1,5.1,2.2,2.13,0.9,7,7,2,0
257,3.2,5.1,1.2,3.54,1.3,6,2,8,0
258,6.5,5.3,2.7,3.79,0.8,8,6,4,0
259,7.3,6.2,1.0,2.02,0.2,1,6,3,0
260,1.5,5.5,1.7,2.93,0.7,4,9,9,0
261,3.8,6.8,2.4,3.1,1.6,6,10,4,0
262,3.6,8.6,2.8,3.28,0.7,10,3,5,0
263,3.6,4.3,2.9,2.2,1.0,10,9,7,0
264,5.3,7.4,1.2,3.41,1.1,6,3,7,0
265,4.4,4.3,0.8,2.44,1.0,9,9,7,0
266,7.7,4.7,1.4,3.04,0.6,9,6,6,0
267,7.1,4.5,2.4,3.53,0.4,3,4,4,0
268,4.9,6.8,1.0,3.18,1.9,7,4,8,0
269,4.6,8.9,1.9,2.5,0.4,8,1,3,0
270,1.8,6.5,2.6,2.75,1.7,7,6,1,0
271,4.2,5.7,1.0,2.77,0.1,10,5,9,0
272,1.5,6.7,0.5,2.78,1.2,1,9,6,0
273,7.0,8.9,2.8,2.84,0.4,6,8,6,0
274,6.5,7.8,1.5,3.26,0.8,9,2,3,0
275,4.3,5.9,2.1,2.85,1.7,9,9,8,0
276,7.2,7.7,2.5,2.56,1.7,8,7,6,0
277,7.0,4.1,1.9,2.3,0.3,3,10,6,0
278,3.8,5.4,1.7,3.06,1.9,5,10,3,0
279,3.0,6.9,2.3,3.34,0.6,5,2,9,0
280,7.0,7.8,1.1,3.81,1.4,10,4,2,0
281,4.6,5.3,2.3,2.42,0.2,5,9,5,0
282,3.4,8.9,2.6,2.54,1.8,6,2,5,0
283,3.5,6.7,2.7,3.4,1.2,4,6,7,0
284,4.4,7.3,2.7,3.3,1.1,2,1,9,0
285,1.8,8.2,2.2,3.36,1.7,9,5,10,0
286,3.9,7.7,1.0,2.1,1.8,7,4,5,0
287,4.4,5.7,1.0,3.2,1.9,4,2,2,0
288,2.0,8.7,1.9,2.28,1.2,7,7,9,0
289,7.2,8.8,2.5,3.97,1.9,1,3,9,0
290,4.4,6.4,0.9,2.72,0.2,6,9,8,0
291,7.2,4.8,1.4,2.36,0.1,5,7,1,0
292,5.4,6.5,0.8,3.17,0.3,10,3,3,0
293,1.5,4.1,1.3,3.67,1.2,10,6,6,0
294,1.8,8.0,2.8,3.49,0.6,9,8,8,0
295,3.7,5.3,0.7,2.09,0.8,8,8,10,0
296,6.4,8.3,1.3,2.21,1.2,4,5,9,0
297,6.4,6.7,2.4,2.2,1.3,5,2,2,0
298,1.1,9.0,2.9,2.74,1.0,2,8,2,0
299,1.3,7.8,2.6,3.01,0.3,2,9,10,0
300,4.4,6.0,1.2,2.48,0.9,6,2,6,0
301,7.8,5.0,1.8,3.57,1.5,8,10,3,1
302,6.9,6.4,0.9,2.04,1.3,5,5,9,0
303,4.8,6.8,0.8,3.0,0.9,4,3,4,0
304,7.5,8.6,1.9,3.33,0.9,7,3,10,0
305,6.7,7.0,2.2,2.61,0.7,2,7,8,0
306,3.8,4.8,1.9,3.97,0.2,4,6,6,0
307,3.0,8.6,1.5,3.27,0.8,10,10,4,0
308,7.8,7.1,0.8,2.79,1.4,9,4,2,0
309,7.8,4.3,2.6,3.33,2.0,3,7,3,0
310,6.6,9.0,1.5,3.04,1.5,4,2,7,0
311,7.3,6.4,2.3,2.53,0.7,9,9,4,0
312,6.6,4.4,1.1,2.29,1.0,6,8,5,0
313,5.6,8.1,3.0,2.75,0.7,6,3,4,0
314,8.0,5.4,2.8,3.1,1.9,6,10,10,0
315,1.3,8.9,2.6,3.54,1.2,8,5,2,0
316,5.9,6.9,1.4,3.62,1.5,3,9,1,0
317,2.0,8.8,0.9,3.61,0.7,10,2,3,0
318,1.4,6.6,1.8,3.07,0.0,5,2,6,0
319,6.4,6.7,0.8,3.9,1.9,3,3,10,0
320,7.6,7.9,0.8,3.55,1.9,10,8,6,0
321,7.9,5.5,0.6,3.65,1.4,1,4,1,0
322,5.1,4.1,2.8,3.79,0.8,9,7,3,1
323,6.4,7.4,1.5,2.92,0.6,9,2,5,0
324,7.2,6.7,0.9,2.36,0.6,8,8,1,0
325,2.9,4.6,2.3,3.03,0.3,6,1,9,0
326,1.5,7.3,2.7,2.61,0.9,5,7,10,0
327,5.4,8.1,1.8,2.53,0.9,5,8,8,0
328,7.2,4.1,1.3,2.49,1.8,5,5,4,0
329,7.0,5.9,1.3,2.91,1.2,10,2,6,0
330,7.5,6.7,1.1,3.77,0.6,3,8,6,0
331,1.4,7.0,1.8,2.69,0.9,10,4,2,0
332,6.1,8.1,1.4,3.27,1.6,10,1,4,0
333,1.4,5.2,1.7,3.82,0.7,10,4,3,0
334,5.4,4.1,2.0,3.82,1.9,6,10,8,0
335,2.1,8.2,0.9,2.48,0.5,2,7,6,0
336,5.0,4.3,1.1,3.8,0.4,9,4,10,0
337,4.4,4.3,1.9,3.51,0.9,8,4,3,0
338,3.4,8.6,0.8,3.08,0.4,7,10,6,0
339,1.2,6.4,1.3,3.03,1.0,5,9,10,0
340,5.5,7.3,1.4,2.61,1.2,5,7,1,0
341,2.3,7.8,3.0,2.3,1.4,4,9,10,0
342,1.4,7.4,0.5,2.32,1.3,3,2,6,0
343,3.0,7.0,0.9,2.73,1.7,5,6,9,0
344,2.8,5.0,2.5,3.92,1.8,1,3,4,0
345,7.0,6.9,1.0,3.93,1.1,9,3,7,0
346,1.6,8.4,1.4,3.47,0.1,1,6,6,0
347,4.2,8.4,1.2,2.61,0.0,3,10,2,0
348,4.9,8.6,3.0,3.62,1.2,6,6,9,0
349,3.6,4.1,2.9,2.83,0.5,10,6,7,0
350,1.8,6.0,2.3,3.22,1.0,5,6,8,0
351,2.7,5.4,2.6,2.07,0.0,6,5,6,0
352,1.2,5.2,1.0,2.78,1.3,5,8,10,0
353,6.2,6.7,1.4,3.42,0.9,6,8,6,0
354,1.6,6.2,1.9,2.05,0.3,8,9,9,0
355,5.1,7.4,1.3,3.5,1.6,1,5,5,0
356,5.2,8.2,2.8,2.12,1.4,1,8,1,0
357,4.1,5.1,2.0,3.51,0.7,2,9,1,0
358,5.4,4.4,2.3,3.34,0.4,3,3,8,0
359,2.4,8.4,1.6,2.82,1.1,1,3,2,0
360,1.7,5.6,1.4,2.85,1.0,3,3,7,0
361,6.0,6.1,0.9,2.68,0.3,2,10,10,0
362,7.2,6.1,0.8,3.9,0.2,8,3,7,0
363,3.5,6.3,2.9,3.35,1.6,1,4,2,0
364,3.8,4.4,1.9,2.04,0.5,4,9,7,0
365,4.5,8.0,1.5,3.45,1.0,4,3,9,0
366,7.3,7.2,0.5,2.78,1.9,7,3,9,0
367,6.4,7.7,0.5,3.05,1.2,3,1,2,0
368,5.3,8.4,2.2,2.81,0.6,2,8,8,0
369,2.4,7.1,0.7,3.64,1.1,6,5,5,0
370,8.0,8.9,2.2,3.82,1.2,8,8,4,0
371,7.3,4.4,2.3,2.76,1.8,4,6,9,0
372,4.5,7.3,0.9,2.34,0.9,7,3,8,0
373,5.0,9.0,2.4,2.53,0.4,7,2,10,0
374,5.7,4.2,1.4,2.56,0.1,4,3,1,0
375,2.9,8.4,2.6,2.57,1.8,4,1,3,0
376,7.9,8.8,2.3,3.39,0.5,1,9,3,0
377,4.8,5.0,2.6,3.25,1.6,4,6,1,0
378,3.0,6.0,1.0,2.63,0.1,5,10,9,0
379,4.1,6.4,2.0,3.69,1.5,7,7,9,0
380,6.9,5.0,1.2,2.56,1.6,3,10,8,0
381,3.2,6.2,2.2,2.96,1.6,8,10,9,0
382,1.3,4.9,0.9,3.86,0.0,4,9,8,0
383,4.2,6.8,1.1,3.37,0.7,3,6,8,0
384,6.6,6.0,2.1,2.84,1.5,9,4,5,0
385,7.5,4.8,0.7,2.91,2.0,10,9,1,1
386,7.0,8.7,3.0,2.84,1.4,5,3,2,0
387,6.7,5.0,0.6,2.75,1.5,7,4,8,0
388,2.3,5.6,2.9,2.72,1.0,6,6,2,0
389,5.3,9.0,2.8,3.1,1.6,10,7,6,0
390,2.7,6.5,1.5,2.58,0.4,1,1,6,0
391,5.4,7.8,1.8,3.46,1.0,4,7,7,0
392,7.2,8.0,1.9,2.66,1.4,5,8,6,0
393,1.5,6.8,2.5,2.13,0.2,9,8,10,0
394,4.0,4.2,0.5,2.46,0.6,2,9,9,0
395,4.2,7.1,2.1,2.21,1.8,4,1,3,0
396,1.8,7.7,2.2,3.77,0.3,4,6,7,0
397,3.3,8.6,1.1,2.62,0.4,4,7,9,0
398,1.0,6.6,1.4,2.02,1.9,6,5,5,0
399,1.2,8.0,2.8,2.18,1.1,5,8,5,0
400,2.0,4.1,1.3,3.71,1.6,7,7,8,0
401,7.1,6.5,1.6,2.03,0.3,1,10,6,0
402,5.5,7.8,1.5,2.79,0.7,9,10,7,0
403,7.7,4.7,2.8,3.5,1.5,8,4,8,0
404,7.6,5.9,2.0,2.52,1.5,1,5,1,0
405,8.0,6.9,2.5,2.45,1.7,10,1,3,0
406,4.3,6.0,1.4,2.98,1.7,8,7,4,0
407,3.8,5.3,2.5,3.48,1.0,6,7,7,0
408,2.9,6.3,3.0,2.6,0.4,9,7,3,0
409,5.3,6.5,1.1,3.48,1.8,9,5,4,0
410,5.7,7.5,2.4,2.84,1.3,10,10,2,0
411,2.8,7.4,1.0,3.73,1.9,7,3,6,0
412,2.8,6.1,2.9,2.98,1.8,6,3,7,0
413,1.1,7.0,1.9,4.0,0.9,2,9,6,0
414,2.0,5.0,2.6,2.71,2.0,5,4,3,0
415,6.5,5.3,1.8,2.29,0.2,4,10,2,0
416,7.5,7.8,1.3,2.73,1.5,4,5,8,0
417,3.1,7.9,1.2,2.85,0.7,2,2,5,0
418,5.9,7.0,2.3,3.0,1.6,3,5,10,0
419,7.9,4.1,0.7,2.33,1.2,3,8,1,0
420,5.1,7.4,0.7,2.64,0.2,5,8,1,0
421,1.9,5.8,2.1,2.27,0.6,3,3,2,0
422,8.0,8.7,1.5,3.7,2.0,10,9,5,0
423,2.9,4.0,0.5,3.16,0.2,7,6,3,0
424,4.3,8.4,0.9,3.2,1.6,10,10,1,0
425,1.1,6.4,3.0,2.51,0.1,8,6,9,0
426,4.9,5.7,1.2,2.07,0.1,8,2,1,0
427,6.1,7.6,1.4,2.72,0.9,9,3,3,0
428,2.7,6.5,1.6,2.14,0.4,6,6,6,0
429,7.8,7.4,0.7,2.54,1.2,10,4,9,0
430,4.2,6.5,1.4,2.91,1.5,5,6,4,0
431,4.4,5.5,2.7,3.17,0.3,5,1,5,0
432,1.4,7.8,0.6,3.42,1.6,10,4,6,0
433,3.7,7.2,0.6,3.34,1.8,2,6,2,0
434,3.8,8.9,1.9,2.77,0.2,6,2,2,0
435,5.4,7.0,1.8,2.54,0.1,1,4,4,0
436,4.0,4.3,1.8,2.17,0.9,8,8,3,0
437,3.5,5.8,1.8,3.3,0.9,7,6,9,0
438,1.3,8.3,1.0,3.95,1.2,4,1,1,0
439,5.6,8.8,0.9,3.03,2.0,8,10,3,0
440,2.4,5.5,0.6,3.56,1.6,4,8,7,0
441,2.0,7.8,2.8,2.1,0.6,2,6,8,0
442,6.6,8.6,1.5,2.63,1.1,1,9,9,0
443,2.3,6.4,2.4,3.61,0.6,2,1,1,0
444,6.4,5.4,1.4,2.42,1.9,4,9,5,0
445,3.5,5.9,1.3,3.68,2.0,7,4,10,0
446,1.7,8.5,1.0,3.32,1.3,1,1,7,0
447,4.1,8.2,1.7,2.32,1.4,9,2,4,0
448,3.3,6.5,0.8,2.54,0.8,1,2,3,0
449,5.0,4.9,2.6,3.82,1.9,3,10,10,0
450,1.5,8.4,3.0,2.46,1.5,1,7,6,0
451,3.3,8.4,2.1,3.4,0.2,1,3,10,0
452,6.4,4.1,1.3,2.77,1.3,10,6,1,0
453,8.0,8.1,1.2,2.13,1.0,1,8,7,0
454,1.0,4.1,1.3,2.22,0.4,2,1,8,0
455,4.2,5.4,1.1,2.31,0.3,4,9,1,0
456,4.6,7.3,2.8,3.22,0.6,1,3,6,0
457,2.8,6.2,2.4,2.58,0.4,4,10,9,0
458,6.3,6.9,1.3,2.15,1.4,9,2,10,0
459,7.2,7.0,1.3,3.86,0.9,7,8,4,0
460,4.5,6.7,2.2,3.73,0.3,3,5,10,0
461,5.3,5.1,1.2,3.32,1.8,7,3,8,0
462,5.2,6.7,2.5,3.82,0.9,8,8,6,0
